epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4103,0.3496,0.27235,0.77071,0.68045,0.64635,0.66219,0.57285,0.65056,1.31566,0.85597,0.000553631,0.000553631,0.000553631
2,69.7432,0.59144,0.40944,0.81522,0.66576,0.61912,0.67383,0.53508,0.77865,1.05084,0.88117,0.000889657,0.000889657,0.000889657
3,103.328,0.69536,0.56196,0.837,0.67403,0.69257,0.67605,0.54401,0.80862,1.08358,0.88592,0.00100564,0.00100564,0.00100564
4,137.965,0.72538,0.7215,0.87291,0.59896,0.69771,0.68233,0.57703,0.67265,1.05019,0.8598,0.000676802,0.000676802,0.000676802
5,172.167,0.75128,0.90948,0.87795,0.67196,0.67277,0.69451,0.58354,0.66796,0.88547,0.86317,0.000346736,0.000346736,0.000346736
