epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9485,0.3214,0.24323,0.76743,0.65637,0.75017,0.72286,0.61829,0.64631,0.94021,0.85391,0.000553631,0.000553631,0.000553631
2,70.3726,0.53185,0.37475,0.80466,0.61088,0.69135,0.65223,0.53534,0.6809,1.21667,0.86183,0.000889657,0.000889657,0.000889657
3,104.693,0.66084,0.5539,0.83462,0.61516,0.70813,0.66536,0.55192,0.73622,0.95147,0.88505,0.00100564,0.00100564,0.00100564
4,139.071,0.68612,0.68446,0.8654,0.59688,0.74413,0.71545,0.60323,0.66438,0.91882,0.86128,0.000676802,0.000676802,0.000676802
5,174.248,0.73372,0.88179,0.87232,0.6436,0.73298,0.68331,0.57537,0.66777,0.81513,0.86958,0.000346736,0.000346736,0.000346736
