epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3677,0.35813,0.31645,0.78116,0.65917,0.67233,0.71783,0.59695,0.67096,0.92117,0.89494,0.000553631,0.000553631,0.000553631
2,69.3477,0.61526,0.51086,0.83152,0.67652,0.61745,0.64572,0.51472,0.75215,1.02763,0.91169,0.000889657,0.000889657,0.000889657
3,103.721,0.69246,0.77733,0.8655,0.59708,0.71015,0.62596,0.49733,0.71556,1.00652,0.8991,0.00100564,0.00100564,0.00100564
4,137.874,0.72077,0.87189,0.88015,0.61169,0.64165,0.64895,0.51914,0.71708,0.88683,0.8986,0.000676802,0.000676802,0.000676802
5,171.426,0.7184,0.89171,0.88136,0.63769,0.69229,0.68909,0.55935,0.68024,0.81929,0.89302,0.000346736,0.000346736,0.000346736
