epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8641,0.32429,0.25566,0.76851,0.70391,0.71942,0.72739,0.62371,0.64192,1.02229,0.85088,0.000553631,0.000553631,0.000553631
2,68.3334,0.50822,0.36942,0.8015,0.66893,0.64915,0.66492,0.54196,0.73422,1.17181,0.87552,0.000889657,0.000889657,0.000889657
3,101.746,0.68964,0.58621,0.83629,0.65692,0.66858,0.665,0.55411,0.70062,1.12905,0.86924,0.00100564,0.00100564,0.00100564
4,135.271,0.67904,0.79682,0.86246,0.58303,0.71634,0.65566,0.55057,0.69423,0.90283,0.87445,0.000676802,0.000676802,0.000676802
5,169.012,0.74518,0.87462,0.87887,0.62588,0.73296,0.68416,0.58048,0.65604,0.81774,0.86344,0.000346736,0.000346736,0.000346736
