epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1696,0.68348,0.95553,0.85971,0.64293,0.70577,0.71376,0.56135,0.73816,0.94061,0.87717,0.000553631,0.000553631,0.000553631
2,160.082,0.76447,1.07278,0.88299,0.58861,0.70912,0.67389,0.53352,0.76027,1.0967,0.89389,0.000889657,0.000889657,0.000889657
3,105.592,0.77211,1.2,0.89362,0.57369,0.68742,0.689,0.54641,0.71861,0.9872,0.87269,0.00100564,0.00100564,0.00100564
4,139.467,0.81747,1.17787,0.90591,0.64504,0.71663,0.73262,0.57996,0.72658,0.93954,0.87469,0.000676802,0.000676802,0.000676802
5,173.295,0.78234,1.24905,0.88841,0.63236,0.70709,0.72704,0.58623,0.68283,0.97564,0.87229,0.000346736,0.000346736,0.000346736
