epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9863,0.39939,0.37942,0.79015,0.70391,0.61531,0.71764,0.58636,0.69501,1.0045,0.89329,0.000553631,0.000553631,0.000553631
2,68.9911,0.56149,0.51036,0.81863,0.62172,0.69237,0.66485,0.53959,0.74217,1.13207,0.92955,0.000889657,0.000889657,0.000889657
3,104.358,0.68823,0.82522,0.87153,0.62437,0.60476,0.59137,0.47063,0.74149,1.30616,0.91465,0.00100564,0.00100564,0.00100564
4,138.155,0.67834,0.92754,0.86803,0.57066,0.72346,0.65144,0.5253,0.73046,0.95827,0.906,0.000676802,0.000676802,0.000676802
5,261.261,0.74142,0.92723,0.88519,0.59499,0.6904,0.64561,0.51854,0.71025,0.985,0.90528,0.000346736,0.000346736,0.000346736
