epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8811,0.39651,0.33939,0.78754,0.69242,0.66085,0.70371,0.56753,0.72049,1.20204,0.87132,0.000553631,0.000553631,0.000553631
2,69.4342,0.56179,0.44632,0.8125,0.61849,0.72031,0.69755,0.54265,0.79473,1.00035,0.89364,0.000889657,0.000889657,0.000889657
3,104.446,0.64513,0.56991,0.84326,0.55408,0.67897,0.63333,0.49997,0.8022,1.25299,0.89627,0.00100564,0.00100564,0.00100564
4,138.734,0.75415,0.7996,0.87547,0.64419,0.70283,0.65683,0.53077,0.76416,1.11171,0.89465,0.000676802,0.000676802,0.000676802
5,172.22,0.76097,0.97037,0.87249,0.61399,0.73425,0.68222,0.54995,0.73628,0.90658,0.89155,0.000346736,0.000346736,0.000346736
