epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9324,0.5028,0.44566,0.80905,0.64519,0.72935,0.70965,0.55667,0.74767,0.92342,0.87566,0.000553631,0.000553631,0.000553631
2,69.0137,0.6196,0.55078,0.83198,0.62367,0.67936,0.68363,0.55524,0.76157,1.05385,0.8937,0.000889657,0.000889657,0.000889657
3,104.272,0.6882,0.80016,0.86066,0.58101,0.72796,0.65962,0.50384,0.79954,1.06186,0.89518,0.00100564,0.00100564,0.00100564
4,228.411,0.79285,0.89204,0.89188,0.57297,0.76304,0.69996,0.56039,0.7423,0.88901,0.87816,0.000676802,0.000676802,0.000676802
5,172.543,0.77099,0.96912,0.88446,0.60991,0.72862,0.70135,0.56872,0.69855,0.96275,0.87197,0.000346736,0.000346736,0.000346736
