epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-51.3591,0.66789,1.23576,0.86568,0.59325,0.58487,0.61973,0.48929,0.76477,1.1757,0.90603,0.000553631,0.000553631,0.000553631
2,-14.7834,0.74142,1.26808,0.87972,0.57016,0.61574,0.61221,0.49055,0.72406,1.09585,0.89014,0.000889657,0.000889657,0.000889657
3,25.518,0.7815,1.36111,0.90386,0.54684,0.58934,0.51065,0.4042,0.78546,1.40926,0.89546,0.00100564,0.00100564,0.00100564
4,60.8841,0.79793,1.5069,0.91539,0.58581,0.59422,0.59889,0.46847,0.78542,1.09291,0.90069,0.000676802,0.000676802,0.000676802
5,93.9447,0.81082,1.41008,0.90403,0.59316,0.64459,0.63473,0.50933,0.71951,1.01296,0.89527,0.000346736,0.000346736,0.000346736
