epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1441,0.32632,0.24732,0.76756,0.65875,0.7188,0.70444,0.60265,0.63358,0.96942,0.85115,0.000553631,0.000553631,0.000553631
2,70.5007,0.50512,0.38908,0.80121,0.6345,0.6605,0.66216,0.55538,0.67386,1.3109,0.85576,0.000889657,0.000889657,0.000889657
3,104.314,0.65514,0.58439,0.83084,0.61126,0.68584,0.66291,0.53676,0.74698,0.92718,0.88083,0.00100564,0.00100564,0.00100564
4,137.862,0.6904,0.71107,0.86716,0.63041,0.72346,0.69464,0.57773,0.66539,0.93096,0.86685,0.000676802,0.000676802,0.000676802
5,171.843,0.7367,0.88017,0.87474,0.65637,0.71186,0.69581,0.58679,0.65293,0.81635,0.8618,0.000346736,0.000346736,0.000346736
