epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0024,0.40446,0.3788,0.78902,0.70072,0.64574,0.70622,0.57777,0.70853,1.02083,0.89445,0.000553631,0.000553631,0.000553631
2,68.9207,0.60404,0.5602,0.82418,0.6028,0.65642,0.64914,0.50821,0.77924,1.05268,0.94362,0.000889657,0.000889657,0.000889657
3,102.511,0.68071,0.77941,0.86772,0.64921,0.63436,0.65742,0.51713,0.77326,0.97981,0.91919,0.00100564,0.00100564,0.00100564
4,139.496,0.72345,0.82212,0.87458,0.64511,0.63649,0.63261,0.50694,0.73618,0.87995,0.91006,0.000676802,0.000676802,0.000676802
5,173.482,0.72493,0.87259,0.87754,0.61535,0.68093,0.67135,0.54102,0.71558,0.81602,0.9055,0.000346736,0.000346736,0.000346736
