epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8231,0.65656,1.00729,0.84776,0.64113,0.69275,0.70429,0.57049,0.7062,1.07379,0.8612,0.000553631,0.000553631,0.000553631
2,72.9672,0.76025,1.19374,0.88301,0.63205,0.70957,0.6898,0.55842,0.72529,0.95331,0.87396,0.000889657,0.000889657,0.000889657
3,106.49,0.78803,1.29003,0.89304,0.51309,0.66627,0.65076,0.52687,0.73089,1.02599,0.87792,0.00100564,0.00100564,0.00100564
4,141.672,0.79331,1.30237,0.91233,0.51673,0.76518,0.68302,0.5644,0.68859,0.96625,0.86609,0.000676802,0.000676802,0.000676802
5,175.084,0.78603,1.23535,0.89707,0.62601,0.71831,0.71231,0.59169,0.65899,0.90717,0.85937,0.000346736,0.000346736,0.000346736
