epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.413,0.39476,0.27093,0.77308,0.67663,0.71488,0.70217,0.57972,0.72825,0.9053,0.87514,0.000553631,0.000553631,0.000553631
2,158.365,0.63176,0.40996,0.82367,0.669,0.66115,0.62987,0.51167,0.70742,1.2178,0.86884,0.000889657,0.000889657,0.000889657
3,103.36,0.73115,0.61016,0.84574,0.62078,0.67691,0.63974,0.51888,0.76145,1.00386,0.88469,0.00100564,0.00100564,0.00100564
4,137.654,0.71948,0.72125,0.87443,0.65059,0.71384,0.72065,0.60156,0.66332,0.9396,0.8667,0.000676802,0.000676802,0.000676802
5,172.317,0.75524,0.93853,0.88237,0.6465,0.7487,0.73498,0.61375,0.67581,0.83,0.8648,0.000346736,0.000346736,0.000346736
