epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8151,0.42817,0.36601,0.79023,0.64602,0.71871,0.71528,0.56814,0.7591,1.01119,0.88392,0.000553631,0.000553631,0.000553631
2,69.5555,0.5857,0.44241,0.81796,0.61651,0.69259,0.69335,0.54356,0.76555,0.95127,0.89066,0.000889657,0.000889657,0.000889657
3,103.431,0.66469,0.60388,0.84887,0.56901,0.66794,0.63255,0.49626,0.74595,1.01231,0.87072,0.00100564,0.00100564,0.00100564
4,137.054,0.76458,0.83673,0.87484,0.65012,0.72221,0.68804,0.54785,0.74972,0.98661,0.87832,0.000676802,0.000676802,0.000676802
5,170.847,0.74639,0.94418,0.8723,0.59396,0.71616,0.70094,0.55994,0.71195,0.87465,0.87331,0.000346736,0.000346736,0.000346736
