epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-53.9236,0.5667,0.69921,0.8267,0.6505,0.67624,0.6987,0.57277,0.70473,1.27912,0.8625,0.000553631,0.000553631,0.000553631
2,-19.5879,0.73166,0.98246,0.86741,0.55448,0.69655,0.62942,0.51577,0.71429,1.45131,0.86195,0.000889657,0.000889657,0.000889657
3,103.088,0.76635,1.17268,0.88425,0.59541,0.66405,0.66022,0.53607,0.71947,1.01937,0.87166,0.00100564,0.00100564,0.00100564
4,47.7576,0.75546,1.12871,0.89864,0.5885,0.75152,0.71419,0.59322,0.66158,0.90961,0.8591,0.000676802,0.000676802,0.000676802
5,82.1992,0.77381,1.10175,0.88952,0.67997,0.67719,0.74382,0.62605,0.65913,0.85762,0.8578,0.000346736,0.000346736,0.000346736
