epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8124,0.3807,0.31916,0.78421,0.70516,0.72327,0.74282,0.59425,0.73752,0.91585,0.88269,0.000553631,0.000553631,0.000553631
2,69.99,0.54995,0.38193,0.80858,0.69991,0.69636,0.71687,0.56083,0.76535,0.88298,0.88504,0.000889657,0.000889657,0.000889657
3,193.299,0.63161,0.49275,0.83682,0.63492,0.74762,0.7054,0.55246,0.82188,0.92085,0.90109,0.00100564,0.00100564,0.00100564
4,137.41,0.74862,0.6883,0.87047,0.64194,0.69577,0.70761,0.55582,0.73986,0.92302,0.88059,0.000676802,0.000676802,0.000676802
5,171.472,0.74163,0.90642,0.86467,0.63033,0.74062,0.69904,0.56352,0.70869,0.83772,0.87395,0.000346736,0.000346736,0.000346736
