epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0169,0.40559,0.33127,0.78689,0.59775,0.69544,0.66002,0.51673,0.75585,1.05154,0.88164,0.000553631,0.000553631,0.000553631
2,70.2528,0.5861,0.44997,0.81685,0.52113,0.62485,0.59632,0.46675,0.79842,1.36529,0.89976,0.000889657,0.000889657,0.000889657
3,104.859,0.71929,0.68662,0.85967,0.57428,0.7464,0.65688,0.51778,0.76094,0.93342,0.88754,0.00100564,0.00100564,0.00100564
4,139.386,0.75644,0.758,0.88188,0.65147,0.64559,0.64791,0.51835,0.7464,0.99608,0.88359,0.000676802,0.000676802,0.000676802
5,262.887,0.74501,0.90451,0.87076,0.59553,0.7306,0.66166,0.5341,0.69817,0.88037,0.86969,0.000346736,0.000346736,0.000346736
