epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6428,0.47535,0.49737,0.80034,0.60747,0.71366,0.69806,0.58157,0.6994,1.07278,0.86306,0.000553631,0.000553631,0.000553631
2,69.0604,0.64393,0.6483,0.83899,0.59579,0.62764,0.65189,0.53735,0.67402,1.1427,0.86256,0.000889657,0.000889657,0.000889657
3,102.473,0.70025,0.81469,0.85479,0.63155,0.6163,0.64996,0.53892,0.69214,1.02471,0.87498,0.00100564,0.00100564,0.00100564
4,136.796,0.73206,0.97566,0.8878,0.61249,0.69941,0.66435,0.55129,0.69236,0.95649,0.87028,0.000676802,0.000676802,0.000676802
5,170.956,0.7507,0.95181,0.88375,0.61752,0.74236,0.70959,0.59601,0.65827,0.85012,0.85811,0.000346736,0.000346736,0.000346736
