epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-54.7871,0.33967,0.26738,0.76896,0.73069,0.68994,0.73003,0.61883,0.67034,1.03144,0.85757,0.000553631,0.000553631,0.000553631
2,-20.6604,0.57826,0.39686,0.8104,0.6571,0.68933,0.66617,0.54306,0.71273,1.12359,0.86486,0.000889657,0.000889657,0.000889657
3,13.1495,0.68164,0.53548,0.83245,0.6672,0.6754,0.67334,0.56099,0.73036,0.99594,0.8722,0.00100564,0.00100564,0.00100564
4,48.6677,0.69983,0.66344,0.86599,0.64005,0.69845,0.68576,0.58085,0.69138,0.90396,0.87146,0.000676802,0.000676802,0.000676802
5,83.0136,0.75507,0.85407,0.87899,0.66834,0.68711,0.70122,0.59351,0.67309,0.86047,0.86665,0.000346736,0.000346736,0.000346736
