epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8333,0.37142,0.33011,0.7817,0.64995,0.76351,0.72684,0.57625,0.73759,0.88894,0.87775,0.000553631,0.000553631,0.000553631
2,70.1746,0.50456,0.38152,0.80226,0.6323,0.70195,0.67046,0.52974,0.75913,0.99038,0.89429,0.000889657,0.000889657,0.000889657
3,104.335,0.60122,0.50616,0.83582,0.6358,0.7377,0.69047,0.54334,0.76276,0.96297,0.89308,0.00100564,0.00100564,0.00100564
4,139.785,0.71749,0.73072,0.86925,0.64149,0.71423,0.67888,0.53905,0.72468,1.00028,0.88759,0.000676802,0.000676802,0.000676802
5,174.025,0.72922,0.894,0.86881,0.60666,0.78117,0.69504,0.55881,0.70629,0.86579,0.88065,0.000346736,0.000346736,0.000346736
