epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1346,0.44531,0.48321,0.8021,0.56688,0.72852,0.70034,0.56701,0.69056,1.05799,0.89397,0.000553631,0.000553631,0.000553631
2,69.0646,0.60538,0.56953,0.82747,0.54251,0.69392,0.62443,0.48148,0.80124,1.19024,0.92126,0.000889657,0.000889657,0.000889657
3,103.225,0.73924,0.87675,0.87376,0.66162,0.64858,0.67256,0.53198,0.79601,1.02117,0.91086,0.00100564,0.00100564,0.00100564
4,137.345,0.72835,0.8638,0.87482,0.66006,0.64964,0.64578,0.52216,0.73219,1.05841,0.89783,0.000676802,0.000676802,0.000676802
5,171.143,0.73807,0.91413,0.87861,0.64767,0.69896,0.70449,0.57834,0.68265,0.84712,0.89192,0.000346736,0.000346736,0.000346736
