epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1234,0.43378,0.36988,0.79255,0.65368,0.68757,0.68783,0.5506,0.70668,1.09305,0.86956,0.000553631,0.000553631,0.000553631
2,69.3287,0.65151,0.51915,0.82981,0.67073,0.63171,0.65609,0.51936,0.8246,1.26859,0.89204,0.000889657,0.000889657,0.000889657
3,103.572,0.71192,0.67895,0.86092,0.61795,0.69347,0.70165,0.55269,0.78802,0.89443,0.88729,0.00100564,0.00100564,0.00100564
4,137.073,0.77812,0.83566,0.88658,0.66554,0.69503,0.70886,0.56308,0.75584,0.9476,0.88054,0.000676802,0.000676802,0.000676802
5,171.866,0.76495,0.9923,0.87514,0.5942,0.73683,0.69343,0.5561,0.71375,0.83878,0.87165,0.000346736,0.000346736,0.000346736
