epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.59,0.4046,0.38838,0.79082,0.6777,0.65434,0.67467,0.54832,0.69323,0.98802,0.90008,0.000553631,0.000553631,0.000553631
2,157.583,0.59603,0.54858,0.82263,0.6843,0.60771,0.65307,0.53492,0.74323,0.96998,0.92069,0.000889657,0.000889657,0.000889657
3,101.21,0.67951,0.85798,0.86837,0.62103,0.64309,0.62072,0.50575,0.71902,1.17104,0.90079,0.00100564,0.00100564,0.00100564
4,135.153,0.70199,0.93355,0.87373,0.62007,0.59121,0.57746,0.47362,0.70497,1.00778,0.90295,0.000676802,0.000676802,0.000676802
5,258.676,0.72727,0.90835,0.88116,0.60363,0.71007,0.65319,0.52811,0.69168,0.86621,0.90555,0.000346736,0.000346736,0.000346736
