epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7254,0.40277,0.34548,0.78129,0.6699,0.61528,0.67016,0.54755,0.75892,1.29835,0.88547,0.000553631,0.000553631,0.000553631
2,71.7048,0.62107,0.54545,0.82727,0.65062,0.68111,0.69188,0.57195,0.70203,1.22712,0.87692,0.000889657,0.000889657,0.000889657
3,106.493,0.68892,0.7059,0.85324,0.58239,0.68037,0.64792,0.53473,0.72195,1.03419,0.8816,0.00100564,0.00100564,0.00100564
4,140.57,0.70924,0.84686,0.87288,0.6453,0.70927,0.70684,0.5906,0.65641,0.89157,0.85764,0.000676802,0.000676802,0.000676802
5,263.511,0.77127,0.92948,0.88399,0.62007,0.75258,0.71681,0.60304,0.6557,0.80881,0.86135,0.000346736,0.000346736,0.000346736
