epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4938,0.49702,0.45946,0.80717,0.65422,0.71824,0.71858,0.56987,0.73333,0.97864,0.86542,0.000553631,0.000553631,0.000553631
2,68.4085,0.63603,0.58855,0.83403,0.59789,0.69047,0.71513,0.5655,0.73663,0.9567,0.88057,0.000889657,0.000889657,0.000889657
3,102.317,0.70422,0.7252,0.86423,0.69941,0.6416,0.6862,0.54018,0.73468,0.98709,0.86764,0.00100564,0.00100564,0.00100564
4,136.086,0.77836,0.88148,0.88782,0.61411,0.77134,0.72488,0.58316,0.71757,0.8693,0.86812,0.000676802,0.000676802,0.000676802
5,170.243,0.74955,0.96549,0.87412,0.62939,0.75744,0.7196,0.58224,0.69275,0.83759,0.86406,0.000346736,0.000346736,0.000346736
