epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6637,0.5851,0.62653,0.8275,0.68406,0.68874,0.71605,0.55638,0.76489,0.91875,0.88124,0.000553631,0.000553631,0.000553631
2,68.2208,0.70754,0.86725,0.86124,0.62336,0.67101,0.66689,0.51145,0.82792,1.15662,0.90382,0.000889657,0.000889657,0.000889657
3,102.74,0.7586,0.97879,0.88234,0.62102,0.67275,0.69003,0.53709,0.80411,1.01329,0.88394,0.00100564,0.00100564,0.00100564
4,137.043,0.83499,1.06917,0.90813,0.58792,0.76366,0.70315,0.54627,0.78695,0.91803,0.89883,0.000676802,0.000676802,0.000676802
5,260.352,0.78794,1.1118,0.89021,0.63625,0.69592,0.71149,0.57213,0.74177,0.94424,0.88425,0.000346736,0.000346736,0.000346736
