epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6581,0.36892,0.36207,0.78305,0.68074,0.63639,0.69286,0.55342,0.7233,1.08231,0.90186,0.000553631,0.000553631,0.000553631
2,69.3213,0.60617,0.57557,0.82998,0.60455,0.70256,0.67914,0.54493,0.72895,0.92227,0.92106,0.000889657,0.000889657,0.000889657
3,103.149,0.67103,0.80767,0.86316,0.63203,0.67204,0.64657,0.51493,0.71907,0.99959,0.89079,0.00100564,0.00100564,0.00100564
4,136.438,0.69477,0.88372,0.86614,0.62546,0.67529,0.62943,0.5093,0.71595,0.87977,0.91294,0.000676802,0.000676802,0.000676802
5,170.88,0.71186,0.86655,0.87833,0.58406,0.74654,0.67428,0.54939,0.69702,0.79367,0.91162,0.000346736,0.000346736,0.000346736
