epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7058,0.48182,0.49335,0.80966,0.5999,0.6951,0.66298,0.52113,0.75244,1.05019,0.90795,0.000553631,0.000553631,0.000553631
2,68.8164,0.69051,0.63102,0.84359,0.58561,0.63548,0.6232,0.47185,0.81546,1.09764,0.93481,0.000889657,0.000889657,0.000889657
3,101.99,0.75101,0.87481,0.88474,0.60933,0.67571,0.67408,0.5285,0.78037,0.99036,0.90594,0.00100564,0.00100564,0.00100564
4,136.102,0.72108,0.87313,0.88249,0.63149,0.73275,0.69205,0.5539,0.70525,0.9199,0.8985,0.000676802,0.000676802,0.000676802
5,169.586,0.73277,0.90554,0.88166,0.64965,0.67492,0.68241,0.55133,0.67831,0.87251,0.89649,0.000346736,0.000346736,0.000346736
