epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2037,0.35066,0.32555,0.78015,0.66366,0.71097,0.72197,0.58374,0.7026,0.87119,0.89493,0.000553631,0.000553631,0.000553631
2,68.986,0.59806,0.49193,0.82457,0.61508,0.68286,0.64902,0.53154,0.72377,1.05991,0.90744,0.000889657,0.000889657,0.000889657
3,102.473,0.68853,0.8268,0.87083,0.56392,0.69434,0.65075,0.51657,0.72137,0.96294,0.909,0.00100564,0.00100564,0.00100564
4,225.803,0.6883,0.83434,0.87353,0.63043,0.64495,0.64792,0.5277,0.70202,1.0409,0.90668,0.000676802,0.000676802,0.000676802
5,169.406,0.72143,0.8851,0.88045,0.60702,0.7193,0.68671,0.55626,0.68093,0.81024,0.90128,0.000346736,0.000346736,0.000346736
