epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4301,0.84618,1.49712,0.91366,0.6527,0.73562,0.70323,0.55,0.76672,1.05584,0.88193,0.000553631,0.000553631,0.000553631
2,71.0672,0.84502,1.4475,0.91108,0.58091,0.67928,0.6681,0.53157,0.77052,1.06021,0.88051,0.000889657,0.000889657,0.000889657
3,105.531,0.80868,1.38841,0.9065,0.58309,0.69297,0.67453,0.5323,0.76766,1.06017,0.88811,0.00100564,0.00100564,0.00100564
4,140.99,0.86606,1.39254,0.9253,0.58742,0.68226,0.69387,0.54475,0.75417,0.97941,0.88699,0.000676802,0.000676802,0.000676802
5,176.134,0.81542,1.47237,0.89141,0.60564,0.70896,0.6968,0.55746,0.71771,1.01227,0.88245,0.000346736,0.000346736,0.000346736
