epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4413,0.38469,0.33607,0.78263,0.6682,0.68264,0.71714,0.5771,0.72414,0.95396,0.91292,0.000553631,0.000553631,0.000553631
2,159.034,0.58549,0.53172,0.82413,0.67515,0.58415,0.604,0.49406,0.74726,1.12557,0.91813,0.000889657,0.000889657,0.000889657
3,103.784,0.67881,0.82409,0.87019,0.60451,0.66865,0.63324,0.51288,0.67791,0.9613,0.8917,0.00100564,0.00100564,0.00100564
4,138.687,0.67645,0.88866,0.87692,0.65349,0.65458,0.64552,0.52578,0.69749,0.90331,0.90669,0.000676802,0.000676802,0.000676802
5,172.912,0.70577,0.88774,0.87925,0.62102,0.70245,0.69854,0.56909,0.66651,0.8394,0.89279,0.000346736,0.000346736,0.000346736
