epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1372,0.42254,0.40022,0.78699,0.60685,0.67278,0.66703,0.55441,0.69164,1.15808,0.85892,0.000553631,0.000553631,0.000553631
2,69.1155,0.5829,0.52577,0.82252,0.65177,0.62175,0.65293,0.53648,0.69753,1.24455,0.87452,0.000889657,0.000889657,0.000889657
3,102.642,0.67002,0.7771,0.84808,0.64099,0.64506,0.6637,0.55467,0.67191,1.01579,0.86395,0.00100564,0.00100564,0.00100564
4,136.201,0.73318,0.9684,0.87724,0.60407,0.73945,0.69893,0.57976,0.6895,0.85716,0.86964,0.000676802,0.000676802,0.000676802
5,169.883,0.77018,0.96264,0.88477,0.61843,0.72958,0.66948,0.558,0.66953,0.85716,0.86254,0.000346736,0.000346736,0.000346736
