epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2894,0.37468,0.32094,0.7805,0.71925,0.65059,0.71359,0.58659,0.68703,0.89835,0.90228,0.000553631,0.000553631,0.000553631
2,70.3286,0.60535,0.53889,0.83174,0.56722,0.60044,0.5999,0.47775,0.76021,1.28655,0.93855,0.000889657,0.000889657,0.000889657
3,104.886,0.70238,0.86482,0.88061,0.58475,0.66574,0.63996,0.5154,0.70155,0.95519,0.9118,0.00100564,0.00100564,0.00100564
4,138.363,0.69341,0.88149,0.8784,0.63125,0.65562,0.64454,0.53085,0.69373,1.05006,0.89828,0.000676802,0.000676802,0.000676802
5,171.934,0.72675,0.88367,0.88018,0.64193,0.69097,0.67608,0.556,0.67828,0.82264,0.89304,0.000346736,0.000346736,0.000346736
