epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5727,0.43793,0.40682,0.78966,0.63866,0.71771,0.70704,0.58232,0.69653,0.97757,0.86616,0.000553631,0.000553631,0.000553631
2,68.6441,0.59568,0.54954,0.82638,0.62318,0.69522,0.67565,0.55489,0.69671,1.1672,0.88042,0.000889657,0.000889657,0.000889657
3,102.278,0.67296,0.86641,0.85455,0.56665,0.5082,0.56816,0.46812,0.69368,1.1795,0.87105,0.00100564,0.00100564,0.00100564
4,135.874,0.71575,0.94518,0.87773,0.5828,0.68703,0.64493,0.53254,0.69355,0.95381,0.87357,0.000676802,0.000676802,0.000676802
5,169.666,0.77944,1.01973,0.88543,0.67384,0.69816,0.73121,0.6169,0.66242,0.8598,0.86058,0.000346736,0.000346736,0.000346736
