epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-54.7197,0.51773,0.65644,0.82005,0.63269,0.71593,0.66885,0.53165,0.72135,1.00006,0.8981,0.000553631,0.000553631,0.000553631
2,-20.0291,0.63969,0.77361,0.84273,0.58424,0.61225,0.60677,0.46895,0.81433,1.19318,0.91794,0.000889657,0.000889657,0.000889657
3,13.3998,0.74792,1.10444,0.8899,0.60058,0.60793,0.61459,0.49343,0.75297,1.16188,0.91123,0.00100564,0.00100564,0.00100564
4,47.4494,0.73008,1.11234,0.88623,0.53673,0.69483,0.64393,0.52038,0.70693,0.99646,0.89056,0.000676802,0.000676802,0.000676802
5,81.3474,0.73008,1.06703,0.88097,0.66033,0.62725,0.67234,0.55096,0.69057,0.91561,0.89344,0.000346736,0.000346736,0.000346736
