epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8409,0.38915,0.33485,0.78314,0.66849,0.6543,0.6868,0.56203,0.69518,0.92971,0.90517,0.000553631,0.000553631,0.000553631
2,69.2535,0.6013,0.51529,0.8295,0.66382,0.68161,0.68572,0.53855,0.75499,0.91375,0.91543,0.000889657,0.000889657,0.000889657
3,103.84,0.67656,0.77493,0.86677,0.60697,0.62267,0.61473,0.49593,0.72203,1.18848,0.90785,0.00100564,0.00100564,0.00100564
4,138.483,0.71047,0.87575,0.87746,0.56894,0.70257,0.60829,0.48698,0.6978,0.89974,0.89447,0.000676802,0.000676802,0.000676802
5,173.017,0.73419,0.89518,0.88418,0.64311,0.67324,0.65975,0.52992,0.67447,0.8169,0.89098,0.000346736,0.000346736,0.000346736
