epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-50.3784,0.73306,1.29326,0.8706,0.65812,0.68266,0.71821,0.5859,0.70275,1.12732,0.86014,0.000553631,0.000553631,0.000553631
2,-13.3091,0.81664,1.40552,0.90351,0.58842,0.72967,0.66028,0.53393,0.75666,1.11389,0.87023,0.000889657,0.000889657,0.000889657
3,25.3591,0.81401,1.4636,0.90504,0.48277,0.62686,0.64896,0.51777,0.73712,1.1138,0.86882,0.00100564,0.00100564,0.00100564
4,60.2408,0.81646,1.45503,0.92216,0.55717,0.715,0.6766,0.55599,0.6792,0.99389,0.86426,0.000676802,0.000676802,0.000676802
5,93.9598,0.80475,1.34781,0.9051,0.58136,0.72508,0.69264,0.57691,0.67993,0.97467,0.86383,0.000346736,0.000346736,0.000346736
