epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4269,0.34159,0.25615,0.76917,0.68071,0.74193,0.72272,0.60719,0.67401,0.9163,0.85743,0.000553631,0.000553631,0.000553631
2,69.3693,0.54568,0.38801,0.80625,0.65174,0.68347,0.67221,0.54414,0.72084,1.37715,0.86909,0.000889657,0.000889657,0.000889657
3,103.945,0.72094,0.62552,0.8415,0.64438,0.65614,0.68586,0.58554,0.65665,1.06726,0.85672,0.00100564,0.00100564,0.00100564
4,138.869,0.67671,0.77444,0.86475,0.55667,0.70926,0.68165,0.56708,0.69427,0.90711,0.8691,0.000676802,0.000676802,0.000676802
5,172.715,0.75503,0.86283,0.87808,0.6129,0.72663,0.68898,0.57528,0.65677,0.83389,0.85995,0.000346736,0.000346736,0.000346736
