epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.967,0.42083,0.37751,0.78569,0.5665,0.6746,0.63164,0.51735,0.72936,1.29533,0.87094,0.000553631,0.000553631,0.000553631
2,68.6501,0.58442,0.54281,0.82322,0.67901,0.61195,0.66604,0.55016,0.73893,1.08903,0.88817,0.000889657,0.000889657,0.000889657
3,102.242,0.69871,0.79126,0.85507,0.56577,0.67482,0.6568,0.5515,0.67266,1.10459,0.86246,0.00100564,0.00100564,0.00100564
4,136.954,0.74693,0.98714,0.88791,0.6165,0.7446,0.7055,0.58557,0.66634,0.86625,0.86268,0.000676802,0.000676802,0.000676802
5,171.364,0.74997,0.97901,0.87424,0.68614,0.69221,0.72358,0.60027,0.67047,0.91969,0.86418,0.000346736,0.000346736,0.000346736
