epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2646,0.48438,0.51429,0.8107,0.6916,0.65538,0.69983,0.5527,0.71896,1.03665,0.89293,0.000553631,0.000553631,0.000553631
2,68.2988,0.70086,0.62683,0.84659,0.62507,0.65434,0.63316,0.48504,0.78315,1.10313,0.91702,0.000889657,0.000889657,0.000889657
3,191.351,0.77319,0.88165,0.88917,0.55785,0.62266,0.6095,0.46086,0.87058,1.10568,0.92578,0.00100564,0.00100564,0.00100564
4,134.894,0.75038,0.92301,0.88498,0.58426,0.72059,0.67965,0.54027,0.70326,0.9223,0.90286,0.000676802,0.000676802,0.000676802
5,168.984,0.75235,0.91764,0.88563,0.62361,0.73518,0.70723,0.57327,0.69279,0.8661,0.90064,0.000346736,0.000346736,0.000346736
