epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-51.2595,0.77435,1.24427,0.88729,0.62835,0.76268,0.73969,0.57986,0.75182,0.88439,0.88941,0.000553631,0.000553631,0.000553631
2,-15.0761,0.79542,1.248,0.89304,0.6527,0.62492,0.69502,0.54733,0.77868,0.95148,0.88191,0.000889657,0.000889657,0.000889657
3,23.8322,0.79866,1.30378,0.90546,0.6363,0.65817,0.689,0.54318,0.74279,1.01225,0.88068,0.00100564,0.00100564,0.00100564
4,58.969,0.8436,1.29661,0.91897,0.57744,0.73467,0.71127,0.56308,0.72591,0.90106,0.87765,0.000676802,0.000676802,0.000676802
5,92.8032,0.8051,1.40825,0.89227,0.59244,0.73915,0.70252,0.56128,0.71609,0.97151,0.87935,0.000346736,0.000346736,0.000346736
