epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.275,0.49613,0.56086,0.81256,0.5985,0.67734,0.65859,0.5156,0.78163,1.14284,0.90374,0.000553631,0.000553631,0.000553631
2,69.2843,0.65294,0.72632,0.84245,0.54513,0.66838,0.55344,0.42142,0.78909,1.18193,0.91497,0.000889657,0.000889657,0.000889657
3,103.422,0.75647,1.02797,0.88635,0.5903,0.66211,0.63188,0.49404,0.77658,0.99896,0.90447,0.00100564,0.00100564,0.00100564
4,137.333,0.72451,0.99863,0.87886,0.60624,0.66919,0.67803,0.52701,0.74305,0.91275,0.90871,0.000676802,0.000676802,0.000676802
5,260.637,0.73899,0.98984,0.88044,0.58442,0.6928,0.68261,0.55269,0.70616,0.89503,0.8958,0.000346736,0.000346736,0.000346736
