epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9488,0.40655,0.38201,0.79063,0.65275,0.66074,0.68942,0.55582,0.70867,1.01213,0.90215,0.000553631,0.000553631,0.000553631
2,68.8149,0.59605,0.59798,0.82241,0.68877,0.57396,0.6442,0.52185,0.7707,1.03622,0.94139,0.000889657,0.000889657,0.000889657
3,192.34,0.67683,0.92256,0.86915,0.68249,0.57888,0.62684,0.50991,0.7237,1.11143,0.91547,0.00100564,0.00100564,0.00100564
4,136.968,0.69517,0.91041,0.87179,0.62982,0.6476,0.63496,0.51624,0.73983,1.08157,0.9149,0.000676802,0.000676802,0.000676802
5,171.26,0.72461,0.91848,0.87299,0.60661,0.64853,0.66316,0.5384,0.70314,0.8879,0.89529,0.000346736,0.000346736,0.000346736
