epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3811,0.43636,0.43521,0.79781,0.59495,0.66898,0.66237,0.53925,0.67437,1.15028,0.88567,0.000553631,0.000553631,0.000553631
2,68.6035,0.56964,0.57083,0.81996,0.57133,0.63651,0.64397,0.50184,0.73419,1.16786,0.91851,0.000889657,0.000889657,0.000889657
3,103.069,0.68232,0.80901,0.86312,0.59696,0.64985,0.66001,0.529,0.72687,1.21448,0.9038,0.00100564,0.00100564,0.00100564
4,137.378,0.67954,0.87316,0.86562,0.6278,0.60064,0.6465,0.52511,0.71312,1.0268,0.90033,0.000676802,0.000676802,0.000676802
5,260.41,0.70736,0.88336,0.87163,0.61496,0.64725,0.65828,0.54073,0.69745,0.91313,0.89459,0.000346736,0.000346736,0.000346736
