epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-54.0069,0.4001,0.33266,0.78771,0.69152,0.71361,0.72126,0.57662,0.68657,1.05267,0.86687,0.000553631,0.000553631,0.000553631
2,-20.1156,0.5919,0.44112,0.81796,0.58657,0.6756,0.65166,0.51294,0.82151,1.12777,0.90701,0.000889657,0.000889657,0.000889657
3,14.1582,0.68418,0.61566,0.85681,0.63324,0.71727,0.68219,0.53154,0.82051,0.97547,0.90193,0.00100564,0.00100564,0.00100564
4,47.7263,0.78807,0.76023,0.88645,0.61187,0.71122,0.65934,0.52244,0.76267,0.99428,0.8834,0.000676802,0.000676802,0.000676802
5,81.3767,0.76903,0.93041,0.87418,0.57499,0.71976,0.65767,0.52894,0.73302,0.8983,0.87907,0.000346736,0.000346736,0.000346736
