epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1679,0.58176,0.93068,0.8378,0.57735,0.62783,0.58253,0.45492,0.74662,1.24424,0.90124,0.000553631,0.000553631,0.000553631
2,72.0784,0.66425,1.01107,0.85684,0.64237,0.54868,0.58997,0.46379,0.73398,1.09558,0.89056,0.000889657,0.000889657,0.000889657
3,105.171,0.74743,1.25427,0.89233,0.54483,0.5883,0.57811,0.46051,0.73483,1.16726,0.89486,0.00100564,0.00100564,0.00100564
4,138.246,0.74874,1.23856,0.89502,0.60125,0.64176,0.62865,0.49875,0.73497,1.11989,0.89856,0.000676802,0.000676802,0.000676802
5,172.498,0.75661,1.26308,0.8898,0.64137,0.65006,0.66302,0.53481,0.703,0.95874,0.89067,0.000346736,0.000346736,0.000346736
