epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6248,0.367,0.31332,0.78233,0.71791,0.68977,0.71482,0.57505,0.7199,0.92748,0.8731,0.000553631,0.000553631,0.000553631
2,70.1354,0.5313,0.38481,0.8066,0.66565,0.69951,0.68369,0.54021,0.77379,0.97852,0.89346,0.000889657,0.000889657,0.000889657
3,104.622,0.6444,0.51845,0.84183,0.64898,0.71718,0.69342,0.5498,0.79334,0.96958,0.89539,0.00100564,0.00100564,0.00100564
4,139.645,0.7443,0.7203,0.87227,0.70489,0.67814,0.70528,0.56394,0.74674,0.96697,0.88491,0.000676802,0.000676802,0.000676802
5,173.469,0.73669,0.90817,0.86443,0.61508,0.78018,0.70206,0.57103,0.70156,0.814,0.87028,0.000346736,0.000346736,0.000346736
