epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2724,0.63421,0.74168,0.84334,0.61201,0.77083,0.68893,0.53859,0.739,0.91087,0.87704,0.000553631,0.000553631,0.000553631
2,68.7795,0.75219,0.96848,0.87736,0.59207,0.71777,0.69278,0.54745,0.77114,0.9685,0.87796,0.000889657,0.000889657,0.000889657
3,192.274,0.76479,1.08293,0.8889,0.61213,0.67109,0.68842,0.54943,0.74035,0.96116,0.87519,0.00100564,0.00100564,0.00100564
4,137.396,0.82386,1.07515,0.91175,0.63369,0.72622,0.70598,0.56229,0.76587,0.98978,0.87848,0.000676802,0.000676802,0.000676802
5,171.485,0.7748,1.1327,0.87706,0.58547,0.71782,0.70498,0.5723,0.68829,0.89164,0.86467,0.000346736,0.000346736,0.000346736
