epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4065,0.37143,0.37036,0.78543,0.67525,0.69337,0.72307,0.58922,0.68525,0.98468,0.8848,0.000553631,0.000553631,0.000553631
2,69.1911,0.59908,0.5835,0.82491,0.67565,0.66666,0.66538,0.53264,0.74579,0.99055,0.93449,0.000889657,0.000889657,0.000889657
3,103.118,0.69038,0.88189,0.87154,0.53784,0.62483,0.59877,0.48423,0.72385,1.13261,0.90796,0.00100564,0.00100564,0.00100564
4,137.525,0.6974,0.93735,0.87628,0.59577,0.64987,0.59597,0.49482,0.72736,1.04056,0.94119,0.000676802,0.000676802,0.000676802
5,170.78,0.71204,0.87163,0.87785,0.57337,0.67649,0.61004,0.50172,0.70462,0.88394,0.91948,0.000346736,0.000346736,0.000346736
