epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1411,0.5171,0.55894,0.81104,0.6598,0.62298,0.62836,0.51466,0.70866,1.11255,0.8678,0.000553631,0.000553631,0.000553631
2,69.4276,0.6668,0.72093,0.84945,0.57465,0.63409,0.61756,0.50098,0.72642,1.09839,0.87514,0.000889657,0.000889657,0.000889657
3,102.846,0.74317,0.95836,0.87547,0.58088,0.748,0.70682,0.57888,0.72646,0.93229,0.8745,0.00100564,0.00100564,0.00100564
4,136.613,0.75126,1.01529,0.89584,0.66541,0.69527,0.70352,0.58773,0.65384,1.10897,0.86041,0.000676802,0.000676802,0.000676802
5,260.716,0.75069,1.01655,0.88745,0.598,0.75161,0.72066,0.60359,0.63224,0.83833,0.85051,0.000346736,0.000346736,0.000346736
